=== HIGH SCORE REVIEWS (0.70 - 0.79) ===
                              normalized_query                                           db_normalized  match_score  jaccard_score  sequence_score                        matched_tokens
80                                   etodolac 600 mg 10 tab                                                         ketolac 10 mg 20 tab        0.532         0.6400          0.8095                        etodolac, mg, 10, tab
983               acne stop facial for acne stop wash cream                                           melano facial for acne wash 200 ml        0.531         0.4615          0.6933                      acne, facial, for, wash
787                            maxipime 500 gm 1 injectable                                maxipime i.v i.m 500 mg injectable injectable        0.529         0.4615          0.6849                    maxipime, 500, injectable
249                      nose nasal 0 كبار free spray 30 ml              beegu nose brand isotonic 0.9 soothing moisturizing spray 30 ml        0.529         0.5432          0.4948                       nose, 0, spray, 30, ml
114                                  ezalline paint 2 60 ml                                                   evasiline hand cream 60 ml        0.526         0.4652          0.6667                             ezalline, 60, ml
731                                 locasten solution 20 ml                                                       locasten 20 gm 1 cream        0.523         0.5000          0.5778                                 locasten, 20
166                                     ferro sanol gyn cap                                                             vee ferro 30 cap        0.521         0.5000          0.5714                                   ferro, cap
356                                          glycerin borax                                       glycerin borax al abdellatif lab 13 ml        0.520         0.4444          0.5385                              glycerin, borax
812                                        mentholax 24 cap                                                             mentoplex 20 cap        0.519         0.4762          0.8125                               mentholax, cap
639                      lantus 5 cartridges 100 iu ml 3 ml                                         lantus 100 units 5 penfill fridge ml        0.517         0.5298          0.4857                           lantus, 5, 100, ml
57                           epoetin 4000 1. u 1 injectable                                            eposino fridge 4000 iu injectable        0.517         0.4250          0.7302                    epoetin, 4000, injectable
6                                  e mox 250 mg syrup 60 ml                           e mox for oral 250 mg powder suspension 5 ml 80 ml        0.516         0.4938          0.5676                          e, mox, 250, mg, ml
330                                   ginseng 100 mg 24 cap                                                marnys ginseng 1000 mg 30 cap        0.509         0.6182          0.7600                        ginseng, 100, mg, cap
1070                              notussil suspension 60 ml                                                   notussil suspension 120 ml        0.504         0.6250          0.9412                     notussil, suspension, ml
196                                 flector 50 65 mg 30 tab                                                         flector 50 mg 30 cap        0.502         0.6667          0.8372                          flector, 50, mg, 30

=== HIGH NO MATCH (0.40 - 0.49) ===
                                       normalized_query                                      db_normalized  match_score  jaccard_score  sequence_score              matched_tokens
498                              imodium imp 2 mg 6 cap                              imodium instant 6 tab        0.497         0.4505          0.6047                  imodium, 6
129                                farcocin 15 gm cream                               farcocin 20 gm cream        0.495         0.6250          0.9000         farcocin, gm, cream
721                                     libosense cream                                libosense 30 gm gel        0.494         0.4286          0.6471                   libosense
399                                     haemoton 28 cap                                   haemoglob 20 cap        0.490         0.4454          0.7742               haemoton, cap
1075                                    novalgin 3 ampl                 novalgin 1000 mg 3 injectable 2 ml        0.490         0.4545          0.5714                 novalgin, 3
76                        etaphylline ad 500 mg 10 supp               etaphylline 500 mg 6 injectable 5 ml        0.485         0.4286          0.6154        etaphylline, 500, mg
514                   insulatard hm nph 100 iu ml 10 ml    insulin insulatard 5 penfill fridge 100 iu 3 ml        0.484         0.4348          0.6000     insulatard, 100, iu, ml
519                                      iodine 5 60 ml       infinity povidone iodine 10 antiseptic 60 ml        0.484         0.5000          0.4483              iodine, 60, ml
531                        isopto fenicol 0.5 eye drops                             episopt eye drops 5 ml        0.482         0.4308          0.6000          isopto, eye, drops
466             humalog 100 u kwikpen 5 pens ml 3000 ml     humalog mix 50 kwikpen 5 prefilled pens fridge        0.479         0.4321          0.5882   humalog, kwikpen, 5, pens
434                              hero 7 vegetables baby                bembo hero 72 pieces baby wet wipes        0.474         0.5273          0.5263               hero, 7, baby
168                                     ferrocal 14 cap                                   ferromack 30 cap        0.472         0.4454          0.7097               ferrocal, cap
613   klenva hygienic for female liquid cleanser 250 ml               klenva intimate feminine wash 250 ml        0.469         0.4286          0.5647             klenva, 250, ml
17                            enemacort enema 4 botelle                  enemacort 4 tab 4 solution 115 ml        0.468         0.4167          0.5862                enemacort, 4
319                                      gentian violet       gentian violet paint al abdellatif lab 30 ml        0.467         0.4000          0.4828             gentian, violet
273                             n 2 pieces gm tab cream                                   flurest n 20 tab        0.462         0.5800          0.3590                   n, 2, tab
1049                                  no cal 50 packets                              no uric 100 mg 50 tab        0.460         0.4545          0.4737                      no, 50
649                                    lasix 500 mg tab                                 lasix 40 mg 24 tab        0.445         0.5556          0.8235              lasix, mg, tab
899                              monicure 7 v plus supp                         monicure nh 6 vaginal supp        0.438         0.3922          0.7083              monicure, supp
167                                      ferro 6 24 cap                                   vee ferro 30 cap        0.432         0.4000          0.6667                  ferro, cap
372                         gripe water original 150 ml                           gripe water smile 120 ml        0.431         0.5435          0.7843            gripe, water, ml
921                            move schiff free 120 tab                       fast move 120 gm massage gel        0.428         0.4464          0.3846                   move, 120
475                  hydrocortison pos 2.5 eye ointment                    hydrocortisone 1 20 gm ointment        0.428         0.3364          0.8000     hydrocortison, ointment
964                           naphcon a eye drops 15 ml                         naphcozole eye drops 10 ml        0.424         0.5118          0.8235     naphcon, eye, drops, ml
250                       nose nose propolis free spray                           so life nose spray 70 ml        0.422         0.3922          0.4906                 nose, spray
488                               ictamol acid ointment        ichthammol al abdellatif lab 30 gm ointment        0.421         0.3471          0.5938           ictamol, ointment
975                                      nassar 1 strip                                      nassar 96 tab        0.416         0.3750          0.6667                      nassar
768                         malinda cleanser gel 200 ml  bluebell malinda formula rich gel cleanser 250 ml        0.403         0.5000          0.5789  malinda, cleanser, gel, ml
371                            gripe water syrup 148 ml                           gripe water smile 120 ml        0.402         0.5000          0.7500            gripe, water, ml
